title,cardDescription,description,topics,idExercises
Aplicando Flexbox e Grid no Layout do Projeto,Explore Flexbox e Grid para criar layouts dinâmicos e responsivos que valorizam seu conteúdo,"**O problema**
​
​
Considerando que uma pessoa pode ter nome, sobrenome e/ou apelido, crie um código que imprima o nome da pessoa no console, seguindo esta ordem de prioridade:

- Apelido: Se a variável apelido estiver preenchida, imprima apenas o seu valor.
- Nome e Sobrenome: Se a variável apelido não estiver preenchida, verifique se o sobrenome existe.
- Se o sobrenome estiver preenchido, imprima o primeiroNome seguido de um espaço e o sobrenome.
- Se o sobrenome não estiver preenchido, imprima apenas o primeiroNome.

Lembre-se que o primeiroNome é sempre obrigatório e estará preenchido.

**Exemplos**

    1. Apelido preenchido
​```javascript
    const primeiroNome = ""Mario"";
    const sobrenome = """";
    const apelido = ""Bros"";
    // Saída esperada: Bros
​​```
    2. Sobrenome preenchido
​```javascript
    const primeiroNome = ""Mario"";
    const sobrenome = ""Bros"";
    const apelido = """";
    // Saída esperada: Mario Bros
​​```
    3. Apenas o primeiro nome
​```javascript
    const primeiroNome = ""Mario"";
    const sobrenome = """";
    const apelido = """"; 
    // Seu código aqui
    // Saída esperada: Mario
​​```
",Flexbox e Grid,rw1731069503143b838b6
Aplicando posicionamento no CSS,Explore o poder do CSS para posicionar elementos e criar layouts organizados e modernos em sua página!,"**Objetivo**

Explorar as propriedades de posicionamento em CSS para ajustar a localização dos elementos da sua página de forma prática.

**Instruções**

1. **Posicionamento Estático**  
   Aplique o posicionamento padrão para manter alguns elementos no fluxo natural da página.

2. **Posicionamento Relativo**  
   Desloque levemente alguns elementos, como um título ou imagem, em relação à sua posição original.

3. **Posicionamento Absoluto**  
   Posicione um elemento sobre outros, ajustando-o em relação ao contêiner mais próximo com um posicionamento específico.

4. **Posicionamento Fixo**  
   Fixe um cabeçalho ou rodapé para que permaneça visível enquanto a página é rolada.

5. **Posicionamento Sticky**  
   Aplique o posicionamento sticky a um menu de navegação ou título, fixando-o no topo ao rolar a página.

**Resultado Esperado**

Sua página deve refletir o uso correto de cada tipo de posicionamento, criando uma estrutura organizada e visualmente atraente.

**Dicas Adicionais**

- Fique a vontade para usar os posicionamentos que quiser, não é necessário utilizar todos obrigatoriamente, mas a intenção nesse exercício é usar a criatividade e testar os diferentes tipos.",Posicionamento,rw17309888120468a6f1a
Aprendendo o Glossário do GitHub,Leia o glossário abaixo e procure entender cada um dos termos,"Este glossário abaixo apresenta os termos mais utilizados no Git, porque é fundamental entender o significado das palavras que fará uso no seu dia a dia, pois isso facilitará sua navegação e colaboração nos projetos.

- **Repositório**: Local onde o código e os arquivos do projeto são armazenados.  

- **Commit**: Registro de uma mudança no código, como um ponto de verificação no histórico do projeto.  

- **Branch**: Ramificação do código onde novas funcionalidades podem ser desenvolvidas ou erros podem ser corrigidos, sem afetar a versão principal.  

- **Pull Request**: Solicitação para mesclar as mudanças de uma branch no projeto principal, permitindo que outras pessoas revisem as alterações antes da integração.  

- **Fork**: Cópia de um repositório, permitindo que você faça suas próprias modificações antes de sugerir melhorias ao projeto original.  

- **Clone**: Cópia de um repositório em sua máquina local, permitindo que você trabalhe offline.  

- **Merge**: Ato de combinar as mudanças de uma branch com outra, geralmente a branch principal.  

- **Conflict**: Ocorre quando duas ou mais mudanças feitas em uma branch não podem ser automaticamente mescladas devido a alterações conflitantes.  

- **Tag**: Um marcador usado para identificar versões específicas de um repositório, geralmente usado para releases.  

- **Issue**: Um item ou tarefa a ser resolvida ou discutida, geralmente usado para rastrear bugs ou solicitar novas funcionalidades.  

- **Wiki**: Um espaço no repositório onde a documentação do projeto pode ser escrita e editada de forma colaborativa.  

- **Action**: Uma automação que executa um processo em resposta a eventos em um repositório, permitindo integração contínua e entrega contínua (CI/CD).  

- **CI/CD**: Práticas de Integração Contínua e Entrega Contínua que automatizam o desenvolvimento e a implantação de software.  

- **Collaborator**: Uma pessoa usuária que tem permissão para contribuir diretamente em um repositório.  

- **Blame**: Comando que permite visualizar quem fez alterações específicas em uma linha de código e quando isso foi feito.  

- **Pull**: Ato de baixar as mudanças mais recentes de um repositório remoto para sua máquina local.  

- **Push**: Ato de enviar suas mudanças locais para o repositório remoto.  

- **Upstream**: O repositório original do qual um fork foi criado.  

- **Downstream**: Um repositório que foi feito a partir de um fork, que pode ter suas próprias alterações.  

- **Marketplace**: Um lugar no GitHub onde você pode encontrar aplicativos e serviços que podem ser integrados aos seus repositórios.  

- **Repository Template**: Um repositório configurado que pode ser usado como base para criar novos repositórios, já com estrutura e arquivos pré-definidos.  

## Bons estudos!

",Como utilizar o GitHub e Git,rw172796579826251b1dd
Apurar Votação,Terceiro exercício da lista com o objetivo de garantir que o teste seja bem-sucedido,"**O problema:**

Implemente o método apuraVotacao, que recebe como argumento um array com os votos de uma certa eleição, em valores numéricos, podendo ser 1, 2 ou 3.

- Caso haja mais votos 1, retorne a string Vencedor: 1.

- Caso haja mais votos 2, retorne a string Vencedor: 2.

- Caso haja mais votos 3, retorne a string Vencedor: 3.

- Caso haja empate, retorne a string Empate.

# Casos de teste

- Quando a entrada for ""[1, 1, 1, 2, 3, 3, 2]"", a saida deve ser ""Vencedor: 1""
- Quando a entrada for ""[2, 2, 2, 2, 1]"", a saida deve ser ""Vencedor: 2""
- Quando a entrada for ""[2, 2, 3, 3, 3, 3]"", a saida deve ser ""Vencedor: 1""
- Quando a entrada for ""[1, 2, 2, 2, 3, 3, 3]"", a saida deve ser ""Empate""",Fundamentos,rw172564217048038aaf4
Backend - Construindo a Base de Dados,Configure o backend com Node.js TypeORM e PostgreSQL Teste a API e adicione um filme Explore migrations e prepare para produção no Heroku,"Olá, Aluna! Nesta atividade, você começará a trabalhar com Node.js e explorará as seguintes tecnologias: JavaScript / TypeScript, Express e TypeORM. O objetivo é aprender a configurar um ambiente de desenvolvimento backend, entender como criar e rodar uma aplicação utilizando essas tecnologias e também trabalhar com banco de dados e rotas RESTful.

Durante a atividade, você terá a oportunidade de implementar funcionalidades práticas, consolidar seus conhecimentos em desenvolvimento backend e preparar uma base sólida para aplicações mais complexas no futuro.



**Pré requisitos**

  - [Entendendo linhas de comando](https://tutorial.djangogirls.org/pt/intro_to_command_line/) - É importante entender o que é um terminal e o que são linhas de comando.

**Preparando o ambiente de desenvolvimento**


- [Instalar o Git](https://git-scm.com/downloads)
- [Instalar Oh my zsh](https://ohmyz.sh/)
- [Instalar NodeJS](https://nodejs.org/en/)
- Instalar o **Yarn**

    Abra o terminal do seu sistema operacional e digite o seguinte comando:

    ```bash
    npm install -g yarn
    ```

- [Instalar Postgres](https://www.postgresql.org/download/)
- [Instalar Beekeeper](https://www.beekeeperstudio.io/get)
- [Instalar Visual Studio Code](https://code.visualstudio.com/)
    - [Configuração do editor - Rocketseat](https://www.youtube.com/watch?v=c7P03kkrEG8) - *GraphQL e **Live Server** não são necessários serem instalados*
- Clonar repositório

    Abra o terminal do seu sistema operacional e digite o seguinte comando:

    ```bash
    git clone 
    ```

- Iniciando a aplicação

    Após clonar esse repositório para sua maquina, ainda no terminal digite e aguarde a insstalação ser concluída:

    ```bash
    cd backend-nodejs
    yarn install
    ```

    Após a instalação, digite o comando:

    ```bash
    yarn dev
    ```

    você deverá notar uma mensagem no terminal ao final:

    ```bash
    Server's running in http://localhost:9000
    ```

- Rodar testes End to End

  
  Subir aplicação após criar a modificação e o testes na pasta ./e2eTest

    ```bash
    yarn dev
    ```

  Rodar todos os testes e2e

    ```bash
    yarn run test:e2e
    ```

**TypeORM**

- Criando Migration


    ```bash
    yarn typeorm migration:create -n 
    ```

**Preparando ambiente de teste**

- Criar uma conta no [Heroku](https://signup.heroku.com/)
- [Criar uma App no Heroku](https://www.youtube.com/watch?v=RNQ5XsGADdg)
- Adicionar o **postgres** na App
- Configurar as **variaveis de ambiente** na App
- [Fazer deploy da branch main](https://www.youtube.com/watch?v=DMPJNe8PqnU)

**Variáveis de ambiente**

Essas são as variaveis de ambiente que essa aplicação precisa para funcionar em qualquer ambiente. 
Os valores que devem ser atribuidos a elas vão depender dos ambientes.

Para caso de ambiente **local** (sua máquina) deve ser criado um arquivo `.env` na raiz do projeto

 ```bash
NODE_ENV=
PGSSLMODE=no-verify
```

**Objetivo Final**

Backend funcional com pelo menos 1 filme cadastrado.
Frontend integrado com o backend e estilizado de acordo com sua preferência.
Deploy completo na Vercel e, opcionalmente, no Heroku para o backend.",Projeto Acelera Movies,rw173262818047403e05d
Calculando o IMC,Crie uma função que calcule o IMC com base no peso e na altura e descubra a classificação correspondente,"**Crie uma função que calcule o Índice de Massa Corporal (IMC) e exiba o resultado na página Home, localizada em:**  
`app &gt; page.tsx` (ou `app &gt; page.jsx` se estiver usando JavaScript).

**Fórmula do IMC:**  
`IMC = peso / (altura x altura)`

**Classificações do IMC:**  
- **Abaixo do peso:** IMC &lt; 18,5  
- **Peso normal:** IMC entre 18,5 e 24,9  
- **Sobrepeso:** IMC entre 25 e 29,9  
- **Obesidade:** IMC &gt; 30  

---

**Instruções:**  
1. No início do arquivo `page.tsx` ou `page.jsx`, crie uma função chamada `calcularIMC` que:  
   - Receba dois parâmetros: **peso** e **altura**.  
   - Retorne o valor do **IMC** (com duas casas decimais) e a sua **classificação**.  

2. Na página:  
   - Declare variáveis para o peso e a altura.  
   - Use a função `calcularIMC` para calcular o IMC com os valores fornecidos.  
   - Exiba o resultado do IMC dentro de uma tag HTML, como `
`.  

**Extra:**  
Se preferir, adicione uma validação para evitar divisões por zero ou valores inválidos.",Variáveis e Constantes,rw1732544420430568ad9
Calcular média de alunos,Quinto exercício da lista com o objetivo de garantir que o teste seja bem-sucedido,"**O problema:**

Implemente o método `mediaNotas`, que recebe as notas de 3 alunos diferentes, referente a 3 provas realizadas por eles. Calcule a média de cada aluno, retornando para cada um deles se o aluno foi aprovado, reprovado ou está em recuperação. Considere os seguintes parâmetros para as respectivas saídas:

- Aprovado: nota maior ou igual a 7.
- Recuperação: nota maior que 4 e menor que 7.
- Reprovado: nota menor ou igual a 4.

## Exemplos:

- Para a entrada `[8, 7, 9], [5, 6, 5], [3, 4, 2]`, a saída deve ser:
  - Aluno 1: Passou
  - Aluno 2: Recuperação
  - Aluno 3: Reprovado
- Para a entrada `[9, 8, 7], [6, 5, 4], [2, 3, 2]`, a saída deve ser:
  - Aluno 1: Passou
  - Aluno 2: Recuperação
  - Aluno 3: Reprovado
- Para a entrada `[7, 7, 7], [4, 4, 4], [10, 9, 8]`, a saída deve ser:
  - Aluno 1: Passou
  - Aluno 2: Recuperação
  - Aluno 3: Passou
",Repetição,rw172788889829812e9e6
Clonando um Repositório e Fazendo um Fork,Clonar um repositório existente e fazer um fork para praticar a colaboração,"1. **Escolha um repositório público no GitHub:**
   - Navegue até o [GitHub](https://github.com/) e procure por um repositório de seu interesse. Pode ser um projeto de código aberto ou qualquer repositório que você gostaria de explorar.

2. **Fazendo um Fork:**
   - Na página do repositório escolhido, localize o botão “Fork” no canto superior direito da tela. Clique nele. Isso criará uma cópia do repositório em sua conta do GitHub.

3. **Clonando o repositório:**
   - Após fazer o fork, você será redirecionado para a sua cópia do repositório. Na parte superior da página, clique no botão verde ""Code"" e copie a URL do repositório.
   - Abra o terminal no seu computador e navegue até o diretório onde você deseja clonar o repositório.
   - Execute o comando:
     ```bash
     git clone [URL]
     ```
     Substitua `[URL]` pela URL que você copiou.

4. **Navegando até o diretório:**
   - Após o clone, navegue até o diretório do repositório usando:
     ```bash
     cd [nome-do-repositorio]
     ```
     Substitua `[nome-do-repositorio]` pelo nome do repositório clonado.

## Bons Estudos!",Como utilizar o GitHub e Git,rw1727976078726bee9ab
Compra com Desconto,Sexto exercício da lista com o objetivo de garantir que o teste seja bem-sucedido,"**O problema:**

A Loja do Juninho está com uma super promoção. Na compra de qualquer produto você ganha desconto conforme a forma de pagamento seguindo a tabela seguinte.
​
| Forma de Pagamento | Desconto |
|:-------------------:|:--------:|
| Débito              | 5%       |
| Crédito             | 3%       |
| Pix ou Dinheiro     | 10%      |

Faça um programa que verifica o tipo de desconto, calcule o valor do produto com o desconto e imprima o resultado. O valor final do produto após o desconto pode ser encontrado com a fórmula:

```javascript
​   valorFinal = valorDoProduto - (valorDoProduto * desconto)
```

​
​Ao imprimir o valor, limite as casas decimais a apenas duas casas (ex: 12.50)

```javascript
//tipo de pagamento (dinheiro, credito, debito, pix)
const tipoDePagamento = ""credito"";
//valor da mercadoria (centavos)
const valorDoProduto = 13000;
```

Para o exemplo acima, o valor final é:


```javascript
​valorFinal = 13000 - (13000\*0.05)
valorFinal = 12350
```

O programa deve exibir na tela:
​

```javascript
Valor a ser pago: R$123.50
```

Teste seu programa para outras entradas.
",Condicionais,rw1755277654851e10ef1
Compreendendo a Especificidade no CSS,Explore como a hierarquia de seletores no CSS afeta a aplicação de estilos e aprenda a usá-los de forma eficaz," **Objetivo:**
Compreender como a hierarquia de seletores no CSS influencia a aplicação de estilos, e como aplicar diferentes tipos de seletores (ID, classes, e tags) de maneira eficaz, garantindo que o design de uma página seja coeso e sem conflitos.

**Instruções:**

1. **Entenda a Hierarquia de Especificidade no CSS:**
- O CSS aplica estilos de acordo com a **especificidade** de seus seletores. Isso significa que, dependendo do tipo de seletor utilizado, alguns estilos podem ""sobrescrever"" outros.
- Selecione um elemento em sua página e analise os diferentes tipos de seletores que podem ser aplicados. Pense sobre como os estilos se combinam para determinar qual será aplicado.

2. **Ordem de Aplicação dos Estilos:**
- Imagine que um mesmo elemento tenha múltiplos seletores aplicados, como uma tag, uma classe e um ID. Tente determinar a ordem de aplicação desses estilos.
- Lembre-se de que os seletores **ID** têm mais peso que as **classes**, que por sua vez têm mais peso que as **tags**. Isso significa que, se você usar uma tag, uma classe e um ID no mesmo elemento, o estilo do **ID** será o que prevalecerá.

3. **Examine o Impacto do Seletor Inline:**
   
   O estilo **inline** é geralmente o mais forte, pois é aplicado diretamente ao elemento HTML. Pense em um caso onde você aplica um estilo inline e também usa um seletor de ID ou classe para o mesmo elemento. Como isso afetará a renderização?

4. **Use o `!important` com Cuidado:**

   O `!important` pode ser utilizado para forçar um estilo, independentemente da hierarquia. Mas deve ser utilizado com cautela, pois pode dificultar a manutenção do código.


5. **Reflexão sobre Pseudo-Elementos e Pseudo-Classes:**
- Pense na diferença entre **pseudo-classes** (como `:hover`) e **pseudo-elementos** (como `::before` e `::after`).
- Qual deles tem maior prioridade quando ambos são aplicados ao mesmo elemento? Como você pode usar essas ferramentas de maneira eficaz em seu código?

6. **Aplicação Prática:**

   Escolha um elemento da sua página para aplicar diferentes tipos de seletores e veja como a hierarquia de especificidade se reflete na prática. Aplique um estilo utilizando inline, um utilizando classe e outro com ID, e observe qual estilo prevalece.

**Resultado Esperado:**

Ao final deste exercício, você será capaz de:
- Entender como a especificidade no CSS afeta a aplicação de estilos.
- Aplicar seletivamente diferentes tipos de seletores para garantir a organização e a consistência visual da sua página.
- Tomar decisões conscientes sobre quando usar o `!important` e como lidar com pseudo-elementos e pseudo-classes em seu CSS.

**Observações:**

- Não se preocupe com a sintaxe exata dos seletores neste momento; se concentre inicialmente nos conceitos fundamentais da hierarquia de especificidade no CSS.
- Experimente o exercício em diferentes tipos de elementos e use o raciocínio para entender o comportamento dos estilos em diversos cenários.

",Hierarquia no CSS,rw1730990599513cf847b
